연번,자치구,업소명,소재지,Latitude,Longitude,객실수
1,동구,게스트145,동구 구성로194번길 19(대인동),35.1519738,126.915752,44
2,서구,더메이,서구 상무번영로 51(치평동),35.1545171,126.8527741,36
3,서구,에스호텔,서구 상무평화로 103(치평동),35.1483246,126.8501975,40
4,서구,노블레스호텔,서구 시청로50번길 5(치평동),35.1531555,126.8524277,93
5,서구,에프엔티호텔,서구 상무연하로 31(치평동),35.1510301,126.8499685,46
6,서구,퀸호텔,서구 상무평화로 97-10(치평동),35.1486201,126.8496183,32
7,서구,하바나호텔,서구 상무중앙로78번길 20(치평동),35.1537188,126.8505266,35
8,서구,부띠끄 호텔와인,서구 상무평화로 140(쌍촌동),35.1497226,126.8537215,30
9,서구,벤틀리 비지니스호텔,서구 상무평화로 124(치평동),35.1490467,126.8522988,47
10,서구,벤처비지니스호텔,서구 상무중앙로38번길 5-6(치평동),35.1508528,126.8495199,57
11,서구,두바이호텔,서구 상무번영로 47 (치평동),35.1540412,126.8528238,85
12,서구,호텔얌,서구 금화로85번길 4-10 (금호동),35.1327338,126.858534,30
13,서구,호텔B,서구 시청로60번길 6 (치평동),35.1542933,126.8544584,65
14,서구,갤러리아호텔,서구 상무대로 833-1,35.1494503,126.8532326,61
15,서구,발렌타인호텔,서구 죽봉대로78번길 11(농성동),35.1604554,126.8847253,35
16,서구,더블유라운지호텔,서구 상무중앙로38번길 20,35.1499542,126.8507584,41
17,서구,스테이53,서구 상무연하로 6 (치평동),35.149537,126.850533,53
18,서구,유탑부티크호텔,서구 시청로 53 (치평동),35.1531556,126.8512106,448
19,북구,세종호텔,북구 경양로165번길 30(중흥동705-9),35.1618244,126.9093604,35
20,북구,호텔더스팟,북구 앰코로 32 (오룡동),35.220717,126.8531921,39
21,북구,비엔날레호텔,북구 대자로 104 (운암동),35.1729253,126.8838657,28
22,광산구,바나나호텔,광산구 임방울대로825번길22-13 (쌍암동),35.2196282,126.849865,36
23,광산구,마드리드호텔,광산구 광산로19번길 11 (송정동),35.1387674,126.793536,59
24,광산구,아우라호텔,광산구 송정로1번길 28 (송정동),35.1388815,126.7936688,60
25,광산구,더존호텔,광산구 임방울대로826번길 60-37 (월계동),35.2158779,126.8477157,35
26,광산구,The Sol Hotel,광산구 어등대로 711 (소촌동),35.1523023,126.7934202,60
27,광산구,탑클라우드,광산구 임방울대로825번길57-1(쌍암동),35.220438,126.8481982,48
