국가,Latitude,Longitude,확진자수
USA,37.09024,-95.712891,"36,892,215"
India,20.593684,78.96288,"32,036,511"
Brazil,-14.235004,-51.92528,"20,213,388"
Russia,61.52401,105.318756,"6,491,288"
France,46.227638,2.213749,"6,339,509"
UK,55.378051,-3.435973,"6,117,540"
Turkey,38.963745,35.243322,"5,968,868"
Argentina,-38.416097,-63.616672,"5,041,487"
Colombia,4.570868,-74.297333,"4,846,955"
Spain,40.463667,-3.74922,"4,643,450"
Italy,41.87194,12.56738,"4,406,241"
Iran,32.427908,53.688046,"4,238,676"
Germany,51.165691,10.451526,"3,803,332"
Indonesia,-0.789275,113.921327,"3,718,821"
Mexico,23.634501,-102.552784,"2,997,885"
Poland,51.919438,19.145136,"2,884,361"
South Africa,-30.559482,22.937506,"2,546,762"
Ukraine,48.379433,31.1655799,"2,261,354"
Peru,-9.189967,-75.015152,"2,127,034"
Netherlands,52.132633,5.291266,"1,888,992"
Iraq,33.223191,43.679291,"1,732,298"
Philippines,12.879721,121.774017,"1,688,040"
Czechia,49.817492,15.472962,"1,675,450"
Chile,-35.675147,-71.542969,"1,624,823"
Canada,56.130366,-106.346771,"1,443,433"
Bangladesh,23.684994,90.356331,"1,376,322"
Malaysia,4.210484,101.975766,"1,299,767"
Belgium,50.503887,4.469936,"1,143,127"
Sweden,60.128161,18.643501,"1,106,821"
Romania,45.943161,24.96676,"1,085,412"
Pakistan,30.375321,69.345116,"1,080,360"
Japan,36.204824,138.252924,"1,043,625"
Portugal,39.399872,-8.224454,"990,293"
Israel,31.046051,34.851612,"914,403"
Thailand,15.870032,100.992541,"816,989"
Hungary,47.162494,19.5033041,"810,126"
Jordan,36.0885599,-95.9260703,"779,019"
Switzerland,46.818188,8.227512,"729,024"
Serbia,44.016521,21.005859,"727,246"
Nepal,28.394857,84.124008,"720,680"
Morocco,31.791702,-7.09262,"711,103"
UAE,23.424076,53.847818,"695,619"
Austria,47.516231,14.550072,"665,035"
Kazakhstan,48.019573,66.923684,"656,777"
Tunisia,33.886917,9.537499,"616,764"
Lebanon,33.854721,35.862285,"573,959"
Saudi Arabia,23.885942,45.079162,"535,176"
Greece,39.074208,21.824312,"521,399"
Ecuador,-1.831239,-78.183406,"491,831"
Bolivia,-16.290154,-63.588653,"478,671"
Cuba,21.521757,-77.781167,"475,105"
Georgia,32.1656221,-82.9000751,"461,198"
Paraguay,-23.442503,-58.443832,"455,680"
Belarus,53.709807,27.953389,"455,281"
Panama,8.537981,-80.782127,"443,718"
Bulgaria,42.733883,25.48583,"429,628"
Costa Rica,9.748917,-83.753428,"422,344"
Kuwait,29.31166,47.481766,"404,463"
Guatemala,15.783471,-90.230759,"394,372"
Slovakia,48.669026,19.699024,"393,160"
Uruguay,-32.522779,-55.765835,"382,721"
